'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0007f9c5-a0f0-438b-90bd-64709f3d7e4f', '4100_3', 60, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('5f23b6b5-6bb6-47bf-9f01-d45705617e5f', 23, '2017-11-08 00:18:00', 'd30e8ef5_c1de_46fb_bbef_d51fe8825a3b');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('5fbeabef-25a3-4be0-8138-2342dabf66fe', 82, '2017-11-08 00:18:00', 'c3ba775f_b551_47eb_952a_989296f8d5b3');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('60b6d85a-dff7-4dbf-ab9d-2e11ab3dee2e', 69, '2017-11-08 00:18:00', '23deefc9_1a52_45a1_afd6_f39d7fe5d22e');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('630f8bcd-6539-4726-86d7-16df14056fd0', 81, '2017-11-08 00:18:00', '07d3fd26_de5e_4464_bfb6_52b015550676');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('64de2117-2c02-4fa0-8a95-f1f50d90c189', 60, '2017-11-08 00:18:00', 'e73d6fdd_80d5_4dfe_b48c_2aeef05f22af');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('65f6105c-0bb0-46a8-9e53-b1aa61e7a2fd', 54, '2017-11-08 00:18:00', '72a2c66e_ed55_4c76_8a3a_24d6e5bf1ece');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('6726c64b-e0a3-44ba-b32c-9bcfffa0fc37', 2, '2017-11-08 00:18:00', 'b7956acd_4e5d_4a1c_8ca0_e45f0493606d');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('6897cd1a-685a-484d-a99f-3918ba497fb6', 13, '2017-11-08 00:18:00', 'e71c78cb_7468_410a_ad29_6307ddbdad9f');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('68cbddad-adfd-4ef0-b1a8-ccb4186a6e4c', 10, '2017-11-08 00:18:00', '89c1c5ec_5178_4126_8262_27f856ff4f5e');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('6abac817-2236-4bc2-b2ed-daa1cf1113ac', 7, '2017-11-08 00:18:00', 'b89f9a97_56a2_4bbb_956f_3cf9092ed22f');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('6d4466c0-2144-47cb-ad83-e45745788925', 21, '2017-11-08 00:18:00', 'ed0887a7_f9d7_49ef_81d4_2af473448ca1');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('6dae94df-eab3-4a26-bbce-7713b87775a4', 55, '2017-11-08 00:18:00', 'af561bcb_1f6d_4a3c_915c_1ad62006d457');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('6eb016b9-e814-4378-88b4-239abcbc558a', 27, '2017-11-08 00:18:00', '6a410af2_3375_4818_9932_da38d302e38c');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('706a60fc-5d12-4560-b2e8-d837240d4deb', 91, '2017-11-08 00:18:00', '1db5bf4c_1757_4b8b_83a4_e7edd01b80d7');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('75073fd5-c79c-4d96-8fc7-e5472940a1de', 18, '2017-11-08 00:18:00', 'ce7285b9_c0c5_4945_9057_1ae84d92ed37');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('777fe77d-46a7-441c-ac0c-c25aa0f0e818', 19, '2017-11-08 00:18:00', '3e4fa444_7637_4eb0_8afb_3e7cfeb8bc29');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('79292eeb-322f-44f8-a3bc-768a0e33dea5', 76, '2017-11-08 00:18:00', '6bf720bf_7948_40bf_86d9_3659fb6a1531');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('796f3181-129e-4320-a673-b0a2afe2d1a1', 25, '2017-11-08 00:18:00', '638e16df_efce_47c9_85b2_913661bad0fa');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('7ada8447-6015-47d7-a5db-ca61dc8aec8c', 35, '2017-11-08 00:18:00', '477a03f0_d904_4ce3_b87f_77ffaaa52edb');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('7b7c7a41-e53d-4e39-a502-e24624bb83cc', 99, '2017-11-08 00:18:00', 'ce1b5102_1de4_44e7_b1dd_2888f83e4343');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('80eca36d-db8c-4c5a-a355-581698bca8dd', 85, '2017-11-08 00:18:00', 'c981f23b_a5c5_4068_8970_75ce184700fc');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('81aceb27-7e09-4521-a233-c7124122bb96', 100, '2017-11-08 00:18:00', 'f56ed843_7165_4b16_8b93_e4303984d6bc');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('82c818b9-c137-4688-9aa5-e32cccc4a9c0', 51, '2017-11-08 00:18:00', 'be947ded_a99b_4b46_b6f0_9f3ffc347021');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('82d62d1a-3f84-46e9-8a7b-436fc5b95908', 76, '2017-11-08 00:18:00', '8254e734_ce2d_4bd2_aab1_66425ba45993');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('86b6432f-5fed-45d0-a218-f68939cf4c53', 49, '2017-11-08 00:18:00', 'fcb78cb1_ca80_40cf_8bb0_29cc4ffd3f31');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('873ac6a7-126f-44ae-a837-c7afa20f2913', 28, '2017-11-08 00:18:00', '83057456_643d_4565_a779_7e7675c07d20');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('8758f1fa-28fa-45cc-a882-b75511fb420c', 24, '2017-11-08 00:18:00', '0cbdfd6d_d722_4ad3_a10a_34d8d86aaa7a');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('882f204e-fcfa-429f-83f2-8d1db92d60f9', 38, '2017-11-08 00:18:00', '2c82946d_df61_441a_8e47_eaf03dacb6d4');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('8d0675ee-e1f1-433b-b1b6-8a0b49c544d2', 29, '2017-11-08 00:18:00', 'fd762ca9_4f43_4372_a4c6_93389bd67854');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('8e014436-359f-4995-947a-4d748a0ca0e7', 21, '2017-11-08 00:18:00', 'f6a9f7ca_4fa3_434b_9e69_7f848c0ce20f');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('8e14dc71-57d4-4a97-89d5-61cf8ca1c1cf', 2, '2017-11-08 00:18:00', '0cb1709d_d9b4_44cc_9be9_7f6dd544d07f');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('8efeb74a-30a7-4709-ab50-85d7f3df26e2', 81, '2017-11-08 00:18:00', 'bd6d6da6_ea01_4b3e_855a_bc3bc8f6083e');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('90b265f3-04cd-4ed9-bfd0-8ba96269c06b', 22, '2017-11-08 00:18:00', '98cb68e0_9bc9_4562_a2f0_88d54cabc24f');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('914c4622-e906-4d22-aa09-923dcfc0f760', 83, '2017-11-08 00:18:00', '56b7785e_8b38_4e90_ae3b_37daadaa4db9');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('9152c788-9294-440e-a95d-d5dd19ae36c9', 3, '2017-11-08 00:18:00', 'b397780e_f91c_4919_9aa7_939e0fc10a8a');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('93e0613a-e436-4cfe-a446-f4a32484603b', 8, '2017-11-08 00:18:00', 'd002180a_1a15_47d6_bd9a_1c27bf23dc6c');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('9a6f96da-4e67-447a-8149-5afe3719dd2d', 12, '2017-11-08 00:18:00', 'a07d9e59_ab72_439c_99dc_6ba7245c1e01');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('9d4b3ecc-0858-4cdb-8986-e361f111784c', 52, '2017-11-08 00:18:00', '15a5588b_3576_4ee6_bc6c_5d1e5929ddd9');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('9f2dd776-c899-41c8-9b5d-2563861aac09', 12, '2017-11-08 00:18:00', '82fe48d9_2c14_4e63_bd32_ab9c3e9a75b2');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('9fbe4d9e-1762-4c3e-8610-63708cb838cf', 41, '2017-11-08 00:18:00', 'd2791d30_3107_417b_b87b_ca179b248dd6');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('9fc7703b-51a2-4d5a-ab1a-1ffe4fafc185', 78, '2017-11-08 00:18:00', '7e125329_74c8_49c2_b0fe_d2714ea82b11');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('a2dbff25-d4f7-4037-9431-f948a432e125', 92, '2017-11-08 00:18:00', 'feec5811_71b7_490b_89e7_7a2ff6985321');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('a3837b21-1dd7-4451-bb36-a506990a3c70', 13, '2017-11-08 00:18:00', '7adde765_c95c_4ff0_a5ef_c6e20c199143');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('a4e330db-7f24-49c1-94db-31e072f0adba', 24, '2017-11-08 00:18:00', '6529a9a1_ce8b_4285_94ce_5bdcf09190dd');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('a5941cf6-21d3-43f2-aba3-0ec6ff2bdc2e', 96, '2017-11-08 00:18:00', '43610060_fec3_4e3e_8370_eba8aaa55cc6');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('a91550e1-3294-46fb-bde3-65fa7276934a', 87, '2017-11-08 00:18:00', '72856a52_c76b_4be6_8c3d_b13dd28daca1');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('aa2fe4ea-048b-4ae2-a70c-c2d0609f3486', 53, '2017-11-08 00:18:00', '57162caf_45c1_4ddb_be1a_e3c56ccb074d');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('ab38f453-ae47-43dc-80a9-1f8d59eb071c', 27, '2017-11-08 00:18:00', '0d402d66_ec66_42e4_9870_e01122dd8874');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('ac4d5e71-4426-49b0-a1bd-e83b8c59c720', 79, '2017-11-08 00:18:00', '53c2bc37_6f2f_4f63_832f_d168d6028791');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('ac6dfc63-780f-42a2-bbe0-9500ab021ca5', 19, '2017-11-08 00:18:00', '0cfc0630_97d4_4875_84e3_220716fca4c8');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('aca4f8c8-97fb-4f65-8ce4-baa42769c022', 30, '2017-11-08 00:18:00', '029018ca_d22a_40b6_bf08_cf53f47f423b');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('afe186ce-777f-4ee8-b7c5-28e37d6ccdd3', 4, '2017-11-08 00:18:00', '069f0cee_993d_4f87_add0_1f4ded85b722');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('b106594d-b638-4f84-abbe-3a55afaf6299', 62, '2017-11-08 00:18:00', '063d2fca_9443_450e_88f6_d6bd95d5ea01');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('b23f8081-a27c-4c4d-a147-4d44e0a8ca16', 63, '2017-11-08 00:18:00', '7de0e279_b000_44a3_9183_e89a39006bc8');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('b4c25e78-ed4e-42ba-8446-77e531c721f0', 31, '2017-11-08 00:18:00', 'e3133f77_d933_42f4_afa1_2bc41b2e30e0');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('b6f9e642-eee9-49fe-bea9-03a10f792d2f', 40, '2017-11-08 00:18:00', '665101bf_2b68_4614_a115_4d5365003122');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('bac19937-3565-4afe-a4a5-ec0fa7573b22', 11, '2017-11-08 00:18:00', 'dceade62_3026_43d7_aaa6_74f0c330eaf2');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('bb6cc089-9597-4a8f-94be-45d8ad9ce5c4', 16, '2017-11-08 00:18:00', '64e391de_02aa_4ef4_922c_d164a72c5a2a');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('bdf5eec7-ffc8-4891-b627-cafe0cfaa114', 53, '2017-11-08 00:18:00', '8a96c8a7_9a25_48e9_9f79_3a429fd35958');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('c1e57b81-97fe-4a4d-8758-4007a11debb6', 37, '2017-11-08 00:18:00', '63c78026_b4f8_47f8_b5a3_0abef53dd444');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('c364db6b-b352-4d90-8609-bd35b130b405', 94, '2017-11-08 00:18:00', 'e98c7dbe_45ca_4ffb_8f02_c17015f8bbae');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('c4658712-bfbf-43ec-ab13-bed8c959e859', 39, '2017-11-08 00:18:00', 'c5ebba7a_c563_48e1_8353_1bd000b99620');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('c4aee681-82cf-42b1-b005-55c36ed89a05', 38, '2017-11-08 00:18:00', 'df98fbc9_052e_42f7_83d7_f0f717ed77e4');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('c63d2d2e-29f8-44bb-b4ed-63d387f12e06', 80, '2017-11-08 00:18:00', '19aabc07_a8b8_4c84_8055_70710679dc48');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('c6d66bf9-7c9a-4fbb-a144-e2d98695b6eb', 80, '2017-11-08 00:18:00', 'a5c1f254_215d_45af_a230_f3f0cc954c9e');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('c85b174c-3d67-417a-9d4c-3d47480b517f', 92, '2017-11-08 00:18:00', '15653390_3635_42df_8220_ac0af87405b7');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('cb6325f2-7dee-4983-9f9e-6169ca094dd9', 75, '2017-11-08 00:18:00', 'e1372ebc_2f2a_4a03_9c8e_ff304b3dc81b');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('cd9129d3-7140-4426-9e34-4b6752164f07', 52, '2017-11-08 00:18:00', '0c0b5c05_bbee_4aa5_ac1a_4da28d5d42c4');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('cf558322-4a52-4962-9a62-8c87736e8548', 67, '2017-11-08 00:18:00', '83f505c0_9438_4aaf_a81f_7faee0fc84f1');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d06048c1-b11d-44c7-9ada-4d4739f2eed6', 9, '2017-11-08 00:18:00', 'f99783a1_2466_4780_898b_333643a48225');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d0d71bb7-1401-47af-b825-79fa25e7a4d5', 64, '2017-11-08 00:18:00', '857a5df1_9a0a_47aa_976b_67e0570d7fd0');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d1703d41-c96f-4821-90a7-3329e870a88c', 18, '2017-11-08 00:18:00', '1e8f647f_b28a_4f47_8e2c_5ffeb804d1b8');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d1bdc03e-f79f-41bf-9996-bb6efc456f0d', 61, '2017-11-08 00:18:00', '9df76173_b000_4d78_a289_6f10cbf96c1c');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d22d4dea-499a-4d94-a4e0-762ab4f28d5b', 73, '2017-11-08 00:18:00', 'e8a48206_5f68_458d_8048_0f3cbffbce73');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d2acedbd-7cf9-45a6-902c-f6f07ed67731', 40, '2017-11-08 00:18:00', '095349de_2d68_4742_a05b_fde5018931db');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d3c53515-b600-447e-a94b-e0ee6f4c5fa8', 10, '2017-11-08 00:18:00', 'a0d95d91_997c_46c5_8649_fe36d162f476');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d60eb3e9-ee07-41df-ae00-e7b752bd4e28', 87, '2017-11-08 00:18:00', 'af51ec6a_9065_427a_8473_be5cbfb444ab');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d617c04c-9114-412b-b443-331579e28cc9', 81, '2017-11-08 00:18:00', 'c164bf94_cc35_4aad_962c_8bf50249585f');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d6b45d13-dcbb-4270-92a9-0c3ebd2debcb', 19, '2017-11-08 00:18:00', '61235370_9700_4d32_a340_66a71557aca2');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d77e3a0b-a346-426b-8c47-a812acbb2e09', 54, '2017-11-08 00:18:00', 'f608ccf0_cf92_4b33_a494_4a524d15abe3');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('d7ea7adc-427a-4e7b-8073-5b903efef940', 4, '2017-11-08 00:18:00', 'ef725dc1_3450_4b02_98ab_28c185d83bf7');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('db120616-5b5d-441b-ae2e-8795620888ea', 78, '2017-11-08 00:18:00', '1735aae5_75f2_4718_bf67_b83f1a8e0613');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('db908b97-0937-4833-8729-9299d84762b3', 46, '2017-11-08 00:18:00', 'aa0e8058_5c11_4a99_b56e_0f29672888a3');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('dc8c3290-f31b-4a8d-a8a3-1fedaf57aadc', 24, '2017-11-08 00:18:00', '11b55305_472e_4b3d_a04e_1cd2f7d807b2');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('dcbc3b21-6d45-4ea7-bc03-5fd7e066c779', 97, '2017-11-08 00:18:00', '70d68dcf_5406_43b2_aefc_2b6b107ff6a9');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('dcbf5ad5-174d-4185-9c52-3f938823c15a', 61, '2017-11-08 00:18:00', '64a21164_bad0_4ae2_a9fd_ed0eed9696ff');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('dd72c711-6565-44d0-9f2d-be9fbb6ad08e', 64, '2017-11-08 00:18:00', 'e9747abe_7888_4bae_aa91_b281878d4a23');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('dd93b3f5-41ac-4ec6-af45-b7e1fe00ba24', 37, '2017-11-08 00:18:00', '2dfe9f16_34ea_4933_b061_f6fe592c5176');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('deb7f38e-ade8-4c08-9565-e873182c2fc5', 30, '2017-11-08 00:18:00', 'feaf209e_4632_44a2_b4d3_b303f287f813');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('e509857f-d4ad-4f3c-b720-1403bf516eb0', 71, '2017-11-08 00:18:00', '7a32660d_ec9f_4f88_914c_a8b06a944d54');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('e78fa74e-41fb-4389-96a4-63375ff2e76f', 6, '2017-11-08 00:18:00', '5e1da4b7_8881_4b0f_8410_71a4138c9154');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('e7dfcd83-efa1-469b-bb54-d3616e5f9536', 9, '2017-11-08 00:18:00', '38d4e0fb_751a_4844_8a6a_fb655b136ff9');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('e987ecf3-f941-46b9-928a-695a6b3a6fe7', 16, '2017-11-08 00:18:00', 'a2cfa773_40ea_44b6_8617_e6045bd21e4c');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('eafcc38f-f8a2-4c8f-b797-9cc3a2f99ca2', 18, '2017-11-08 00:18:00', '112e04d1_fb8f_4b6c_8510_2872ed73ef3f');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('ebe51943-8836-493e-b6f7-9daa254f4a94', 15, '2017-11-08 00:18:00', '20ddedc1_6ed1_4b4b_9ee9_254d4dcd765b');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('ed92afc7-ba74-495d-8ead-ba7cb35fda85', 43, '2017-11-08 00:18:00', 'b92428db_8e0d_43f9_93ce_4fb822e8791e');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('f08eb401-6523-4eb3-ae4b-527eab1c35b0', 89, '2017-11-08 00:18:00', '41240c5a_2bc8_4aea_b380_cead8a5d65d9');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('f2ffdaf3-baca-449c-92d6-8a5cb0644e7f', 79, '2017-11-08 00:18:00', 'ff27ef71_4699_497f_8a37_8f449693f6a0');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('f5dbee8d-39e4-4369-9e9f-fbc4c85277b6', 51, '2017-11-08 00:18:00', '9f90a9eb_3fc9_4ef2_abaf_d2017713fefd');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('f8f761c6-1045-4351-be9c-d29d72b75a8c', 98, '2017-11-08 00:18:00', '57bbceca_67e1_445e_9996_7433e5b9ffb1');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('fa108ff0-ec8c-4f28-8000-1bd05b2789a2', 30, '2017-11-08 00:18:00', 'e170d1e3_ae38_427e_ba22_9b9f0db83cae');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('fa86951f-70bb-4a26-bb21-4bf0db052df4', 64, '2017-11-08 00:18:00', 'b8cbadb8_11a9_43ff_95df_f8a745957984');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('faef7fe0-7816-4511-967b-4b9a557ed3ca', 58, '2017-11-08 00:18:00', '4897cb18_c22a_47a1_8bde_9974280346e7');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('fd28071d-13a3-4d6e-843e-f3438f0248a8', 3, '2017-11-08 00:18:00', '2b88d236_7127_4d5c_bd0a_23af719b4d0e');
'2017-11-0800:18:00',INSERT INTO thermometerobservation VALUES ('ff7af4a9-f60a-40a9-9774-dcc9a3846527', 38, '2017-11-08 00:18:00', '659c6f7b_5985_4751_9698_4dc81cd7e5e6');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('05974a19-a9fc-4122-ad7e-c0fc688fcd69', 42, 2100, '2017-11-08 00:18:00', '7799cd7b_321d_4bf7_93b3_d6c76a1f1378');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('07e5069f-192c-478b-bef1-adfddb99dda8', 5, 2698, '2017-11-08 00:18:00', '7519f4a8_cbb2_44ab_b156_55a23cb5a17f');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('0c88b545-2543-46f3-932a-0d8955dce4ad', 37, 3449, '2017-11-08 00:18:00', 'de73eb2e_5792_4569_8fe7_6f5d4f6c00fb');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('0ce396a7-ea84-4a00-baca-3244ed97902b', 79, 651, '2017-11-08 00:18:00', '5893b658_a666_4862_acba_dffd5c5b05ad');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('0e4d1b28-6cf2-4598-965d-a0ec60978ef8', 18, 1259, '2017-11-08 00:18:00', '0d64def0_ba0a_4d4e_837d_21243c153446');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('0f308a57-f2a7-4940-93ee-65a6e3ad7636', 34, 2530, '2017-11-08 00:18:00', '09752170_81c2_4995_a10d_64f5ec60c1e7');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('0f42df55-b8cc-427b-b23c-342f6ba3308c', 15, 3249, '2017-11-08 00:18:00', '90932704_9dd7_44c3_a731_b2187495eaf0');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('0f7aa044-ffd1-49b1-8b32-4c695fc2058d', 83, 3179, '2017-11-08 00:18:00', '10f3c7d3_9c9f_45aa_b858_152a744f55a9');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('0fa82ee7-7eec-42c5-9c1c-e4ecfa9753c7', 82, 3397, '2017-11-08 00:18:00', '5d93932a_62c4_47a5_8ec3_6c7f526a962d');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('109835eb-345f-42af-a3aa-15d00f67d532', 31, 1255, '2017-11-08 00:18:00', '13d7da18_f638_421b_8768_afb480ae6e0b');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('10ed8549-f16f-4766-8dfd-eb11328054fd', 97, 1962, '2017-11-08 00:18:00', '74c64edd_7ad4_4fda_b3ff_a9719a13ae90');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('13840a79-eb4b-4354-83b4-c439754e3dd4', 88, 1090, '2017-11-08 00:18:00', '1328ab17_2629_4854_80af_1c5284dda8f4');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('150221f7-0f9b-4f6d-b4d3-9ab4114eb15d', 48, 2760, '2017-11-08 00:18:00', 'c868e79a_367e_4515_92d6_e82e06735928');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('16532147-d884-478f-af71-747a96214cb0', 63, 315, '2017-11-08 00:18:00', '884fe6fd_f634_46ea_b78f_1294019e0838');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('17ef4dd2-2fa8-454b-aa0f-df9d9e6f5e91', 68, 2952, '2017-11-08 00:18:00', '8f410e9e_bf9c_4ffc_ab14_948afa9cce54');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('191526a8-3d1d-4471-88ae-3ebf7fd1ba98', 87, 2820, '2017-11-08 00:18:00', 'cccafa50_8996_45b2_be0e_79fae821aaeb');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('19587438-aefa-4898-8e02-1390b1692630', 68, 3191, '2017-11-08 00:18:00', '86a4a2ca_7ded_4d90_a8aa_12bcfa1b8340');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('1b1e273e-fb85-461d-9379-f004c0695159', 12, 298, '2017-11-08 00:18:00', '469b6426_5da5_48e7_96e1_9fae7039f27a');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('1c9244d4-5760-4806-abe8-418c2f5e5586', 72, 3275, '2017-11-08 00:18:00', 'd1457ca4_0cca_4ce6_abd6_99e9a26982a1');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('1cac4831-0986-4a4a-83c3-189a6b8b42bf', 69, 2705, '2017-11-08 00:18:00', 'fff9e75d_92ac_4697_ac7c_5888b49ffba2');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('1d049b28-d8a1-4d1f-a5b8-2f62878b2866', 2, 658, '2017-11-08 00:18:00', 'aeba806e_1191_4fae_a689_7fdc971ae7f4');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('1d749409-61bc-4011-bc7a-e38e7ba2ab56', 41, 463, '2017-11-08 00:18:00', '163107d8_7a70_40ce_8423_744e5eb5349a');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('1ed264a7-45e0-41da-8d1b-d0b27831f8c8', 25, 326, '2017-11-08 00:18:00', 'b293db99_87f9_412b_b093_b2758e91ecec');
'2017-11-0800:18:00',INSERT INTO wemoobservation VALUES ('1f6473b4-6cb4-4a6e-b6bf-61eb851ccc11', 12, 1226, '2017-11-08 00:18:00', '0b79e7d2_65a0_4bd3_92f3_ae07c27d87db');
